StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
STO,13560785920,17331832832.0,3.6385257,1.8584071,4.65,8.816,-0.0008,0.2227,0.02991,-0.0004,3727000064.0,1.787,-0.155,1319000000.0,1966000000.0,-3000000.0,-0.001,1287000064.0,0.618,5057999872.0,69.307,1.897,3.503,1832999936.0,573342976.0,-0.21090907,8.45,2.73,6.789375,5.789065,6060623,4862893,2083069952.0,1761241902.0
SXY,475858464,685536448.0,3.8478706,1.5258216,5.543,14.916,-0.41536,-0.05015,-0.0063899998,-0.15421,123668000.0,0.085,0.329,11822000.0,45959000.0,-51367000.0,-0.035,79908000.0,0.055,291652992.0,93.957,2.648,0.213,51545000.0,-56707248.0,0.06557369,0.37,0.12,0.33548388,0.3170652,3622189,3386517,1464179968.0,1379039281.0
TAP,28895024,13275333.0,0.8753946,0.93055564,0.402,1.004,0.47561002,-0.01372,-0.00403,0.39801,33008000.0,0.077,-0.516,10637000.0,13223000.0,15699000.0,0.037,26656000.0,0.063,10308000.0,33.658,2.83,0.072,20814000.0,11038250.0,-0.408,0.165,0.062,0.074914284,0.078781694,252779,115051,431268992.0,88768434.0
TEG,15236910,10104439.0,1.2433078,4.5,0.825,9.828,-0.30898002,-0.23961,-0.06473,-1.57688,12255139.0,0.035,-0.388,4714844.0,1028162.0,-3786564.0,-0.011,2603365.0,0.006,987095.0,43.229,1.08,0.006,651277.0,-2078679.0,-0.37209302,0.064,0.02,0.025709677,0.029884059,1608744,4278712,564329984.0,317852617.0
TIG,117482392,49435372.0,2.1637394,1.1249999,0.91,-3.826,-0.43905997,-0.35154998,-0.14162,-0.85877,54296000.0,0.014,1.416,-5127000.0,-12920000.0,-23839000.0,-0.006,13343000.0,0.002,14032000.0,33.675,2.426,0.008,-17095000.0,-16037375.0,0.0,0.047,0.005,0.010516097,0.010260862,2534469,4158462,13053599744.0,633610612.0
VMX,27658180,46136116.0,0.24691056,0.9166667,0.412,11.763,0.00191,0.01311,0.0147,0.00713,112017000.0,0.891,-0.333,16858000.0,3922000.0,214000.0,0.002,3508000.0,0.028,21986000.0,72.84,1.535,0.24,-2277000.0,-5000125.0,-0.15384614,0.32,0.13,0.23258065,0.19309783,52099,40271,125719000.0,43728738.0
WBE,12189390,11003577.0,4.2381015,1.0,3.826,-3.11,-1.4419999,-1.82621,-0.20618,-0.65462995,2876144.0,0.001,1.31,457913.0,-3538224.0,-4147411.0,-0.002,1385800.0,0.0,200000.0,2.272,0.362,0.003,-1901129.0,-4029745.0,-0.72727275,0.013,0.002,0.003,0.003196163,3332716,781103,4063130112.0,2573746249.0
WEL,17247502,14888212.0,5.088493,1.5625,4.392,11.375,-0.53946996,-0.58402,-0.1284,-0.21202,3389511.0,0.005,0.912,2260548.0,1308874.0,-1828525.0,-0.003,2438363.0,0.004,123304.0,1.15,3.103,0.016,648573.0,-2955672.0,-0.4791667,0.05,0.015,0.023064516,0.026028985,358964,497816,689900032.0,392055656.0
WHC,1543796864,2400879616.0,0.89490074,0.4563492,1.392,3.369,0.01741,0.04671,0.01001,0.00887,1725104000.0,1.742,-0.313,687610000.0,712737984.0,30036000.0,0.03,106760000.0,0.108,1024561024.0,31.529,1.386,3.276,146436000.0,461691008.0,-0.3922764,2.675,0.83,1.6372727,1.2953929,13109585,9506567,1032640000.0,731222280.0
WOR,5973573632,7835270144.0,0.45771003,1.0125909,0.6,9.474,0.013099999,0.04889,0.03551,0.031400003,13050999808.0,25.047,0.447,807000000.0,827000000.0,171000000.0,0.327,467000000.0,0.896,2288000000.0,38.519,1.028,11.278,829000000.0,728249984.0,-0.18136197,15.03,4.63,12.02,10.563166,1701403,973479,523080000.0,311394922.0
WPL,23545669632,26981163008.0,5.209219,1.9232886,5.969,9.836,-0.91659,0.04934,0.0051599997,-0.26634002,4520000000.0,4.8,-0.156,2146000000.0,2743000064.0,-4143000064.0,-4.4,4537999872.0,4.755,7367000064.0,56.928,2.646,12.723,2927000064.0,1361124992.0,-0.27388728,34.44,14.93,24.586563,20.87187,3511276,2899660,962225984.0,950493780.0
YAL,3053782016,5920796160.0,0.74247074,0.49694502,1.44,5.586,0.18478,0.09677,0.02221,0.121070005,4112999936.0,3.115,-0.164,2240000000.0,1060000000.0,760000000.0,0.576,423000000.0,0.32,3120000000.0,48.111,0.597,4.91,1270000000.0,855000000.0,-0.14685309,2.96,1.88,2.4396775,2.1255074,56629,61429,1320440064.0,111270800.0
