StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
CT1,43652804.0,38925408.0,63.129158,10.666667,56.293,-13.063,0.0,-4.34689,-0.75293,-1.5085499,691484.0,0.001,0.465,288399.0,-2979883.0,-2923876.0,-0.003,4405173.0,0.003,58368.0,1.318,12.804,0.003,-1922807.0,-1220287.0,0.10344839,0.046,0.013,0.033903226,0.028235508,1975285.0,813495.0,1364150016.0,776709188.0
CV1,49673664.0,45265776.0,4.003853,7.727273,3.649,-40.07,-0.101,-0.11757,-0.10644,-0.22257,12406466.0,0.043,-0.082,6786045.0,-1129675.0,-1253036.0,-0.004,4627716.0,0.016,219887.0,3.438,2.194,0.022,-67678.0,-1475683.0,0.41666675,0.21,0.046,0.17677419,0.13885145,271893.0,201520.0,292198016.0,178699333.0
CWZ,66496492.0,62335328.0,52.380684,5.491803,49.103,-8.571,0.0,-5.77026,-0.32584998,-0.5538,1269485.0,0.007,0.619,-4777564.0,-7272910.0,-7351115.0,-0.04,4438535.0,0.022,277333.0,2.284,5.714,0.061,-5533186.0,-2778621.0,1.030303,0.37,0.11,0.34419355,0.21583334,187994.0,59477.0,198496992.0,74015600.0
DDR,1988147712.0,2064164480.0,1.0381349,12.527115,1.078,25.383,0.03129,0.04097,0.08935001,0.48736,1915115008.0,11.498,0.181,161052000.0,81320000.0,59926000.0,0.36,17394000.0,0.101,94120000.0,59.33,1.175,0.922,26103000.0,-11560625.0,0.72131145,11.96,3.9,10.7456255,9.105899,166408.0,138933.0,172134000.0,53327019.0
DRO,68229000.0,41408232.0,14.405728,6.481481,8.743,-6.358,-1.3099899,-1.4698,-0.6403,-1.49899,4736241.0,0.019,0.452,2006852.0,-6512887.0,-6204411.0,-0.029,4068832.0,0.016,1296189.0,18.712,3.69,0.027,-6052706.0,-5548598.0,-0.23913044,0.25,0.084,0.17629032,0.17503624,1472565.0,1416556.0,389880000.0,215494105.0
DTC,188302064.0,184163472.0,9.618535,4.591837,9.407,-30.288,-0.19303,-0.36565,-0.09877,-0.17852,19577000.0,0.158,0.145,9391000.0,-6080391.0,-3779000.0,-0.03,9365000.0,0.067,5227000.0,12.741,1.196,0.294,4723000.0,-6254244.0,0.26760554,2.44,0.4,1.4575807,1.7340218,872581.0,1005713.0,185680000.0,81026818.0
DTL,873038336.0,636616960.0,0.5376378,16.725664,0.392,18.022,0.01456,0.02099,0.040710002,0.47382998,1623841024.0,10.546,0.175,54158000.0,35324000.0,23636000.0,0.153,255147008.0,1.657,18253000.0,34.629,1.053,0.339,160214000.0,153143504.0,0.2544248,7.3,2.5,5.5551515,5.8457856,533614.0,223379.0,153975008.0,136634291.0
DUB,388490720.0,348897696.0,39.642582,12.357723,35.602,-21.177,-1.83679,-1.8452499,-0.34166,-0.67200994,9799834.0,0.051,0.464,-10016421.0,-16475514.0,-18000260.0,-0.093,18408880.0,0.077,2476419.0,9.694,3.902,0.123,-12684645.0,-4538009.0,0.293617,1.9,0.38,1.6673437,1.3726618,1213410.0,577036.0,255586000.0,202391936.0
DVL,10848419.0,8558021.0,5.372579,17.999998,4.238,-2.412,0.0,-1.82549,-0.3529,-2.0388699,2019220.0,0.009,-0.299,1922253.0,-3548133.0,-7593079.0,-0.035,1685288.0,0.007,1911918.0,416.514,1.945,0.002,-2179554.0,-2168267.0,0.3846153,0.27,0.008,0.040258065,0.032608695,6224428.0,1196129.0,301344992.0,122867187.0
DWS,158197200.0,188691600.0,0.937726,2.2988505,1.118,10.016,0.04452,0.099750005,0.07103,0.10772,168703008.0,1.28,0.05,25277000.0,18838710.0,7510000.0,0.057,14358000.0,0.109,44852000.0,65.135,1.072,0.522,23979000.0,24409568.0,0.111111164,1.2,0.545,1.1978226,1.0844566,102584.0,0.0,131831000.0,70843519.0
