StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
IMU,497796576.0,440962240.0,120.41987,7.4999995,106.671,-41.144,-2.54195,-2.59936,-0.13994001,-0.24128,4133841.0,0.001,-0.297,4133841.0,-10717611.0,-10507999.0,-0.003,30106756.0,0.007,69336.0,0.116,11.897,0.014,-10437765.0,-6389637.0,2.2812498,0.14,0.016,0.10529032,0.07417391,19760341.0,10795274.0,4740919808.0,3631855977.0
JHC,199099024.0,426317664.0,0.47152826,0.8922156,1.01,16.904,-0.69175005,0.00271,0.00053,-0.77369004,422241984.0,1.582,0.067,81975000.0,25220000.0,-292087008.0,-1.095,48286000.0,0.181,275767008.0,123.681,0.096,0.835,75198000.0,-6297125.0,-0.19021738,0.975,0.345,0.67078125,0.53183454,941720.0,502755.0,267247008.0,204654966.0
JHL,8054520.0,10579521.0,1.1141956,1.9047619,1.463,-44.081,-0.07373,-0.05865,-0.01988,-0.13048,7229000.0,0.042,0.009,1814000.0,-240000.0,-533000.0,-0.003,1331000.0,0.008,4856000.0,131.279,0.787,0.021,254000.0,-333250.0,0.53846145,0.067,0.012,0.041419353,0.039115943,530522.0,130343.0,201363008.0,51136459.0
LCT,9143057.0,6432837.0,16.512894,3.2000003,11.618,-2.751,-1.74911,-4.25416,-0.32176,-0.27604,553692.0,0.001,-0.325,553692.0,-2338646.0,-968469.0,-0.002,2964874.0,0.005,254656.0,8.847,9.877,0.005,-3109785.0,-2363464.0,-0.15789467,0.022,0.009,0.015387097,0.015065217,791462.0,217785.0,571441024.0,408226008.0
LGP,82912800.0,77591392.0,37.618877,6.5217395,35.204,-11.327,0.0,-3.1741102,-0.47627,-1.69235,2204021.0,0.017,5.715,1152970.0,-6850284.0,-9315435.0,-0.073,4273564.0,0.032,1685116.0,13.704,2.366,0.092,-6048567.0,-10529418.0,0.71428585,0.68,0.17,0.5801613,0.4057971,487283.0,649612.0,138188000.0,53973060.0
M7T,336820320.0,263676224.0,17.85225,5.833333,13.975,230.518,0.00897,-0.043420002,-0.0128999995,0.0053,18867108.0,0.111,0.678,6252519.0,1143844.0,169293.0,0.001,48874208.0,0.225,320479.0,0.599,8.184,0.246,4748411.0,4872126.0,0.7826086,1.59,0.37,1.2609677,1.0912501,663170.0,1299792.0,234718000.0,194011212.0
MDC,81106040.0,71198608.0,28.474295,6.904762,24.996,-5.584,0.0,-4.69288,-0.43979,-1.02776,2848395.0,0.013,-0.861,-851482.0,-12749400.0,-13399374.0,-0.059,9063044.0,0.034,2333820.0,20.735,3.259,0.042,-10422420.0,-5763398.0,-0.079365075,0.42,0.125,0.27080646,0.20092392,379365.0,499729.0,279676000.0,158263415.0
MDR,136601248.0,83186824.0,14.225376,5.588235,8.663,-8.622,-0.99816,-1.01781,-0.3697,-0.76208,9602646.0,0.041,0.184,-2387611.0,-9648137.0,-9584995.0,-0.041,12345164.0,0.05,1420775.0,8.347,4.836,0.068,-8680547.0,-6039937.0,-0.17391306,0.675,0.28,0.36451614,0.4157091,431191.0,622712.0,359476992.0,156818911.0
MEB,12128940.0,11393365.0,13.108556,0.74999994,12.314,-3.264,0.0,-3.9336998,-0.16655001,-0.36508,925269.0,0.001,-0.799,720581.0,-3490865.0,-3872404.0,-0.004,812503.0,0.001,76905.0,0.61,0.614,0.012,-3588818.0,-3735007.0,0.0,0.017,0.005,0.0091290325,0.010862319,9044112.0,6088739.0,1347660032.0,1021851666.0
MSB,1398457088.0,1387092480.0,85.20423,2.5897715,84.512,-13.194,0.0,-6.54292,-0.09824,-0.19139,16413000.0,0.03,-0.923,6847000.0,-105132000.0,-97000000.0,-0.176,108123000.0,0.185,101023000.0,18.76,1.32,0.919,-68974000.0,-44639568.0,-0.19594592,5.7,1.02,2.5796876,3.7244604,6642453.0,2750400.0,587587008.0,468483800.0
MVF,294174432.0,338989312.0,2.0229714,1.1778471,2.331,13.12,0.08064,0.15385,0.043759998,0.05527,145416992.0,0.565,-0.086,50925000.0,25838000.0,11726000.0,0.045,15072000.0,0.039,57573000.0,22.835,0.81,0.641,31079000.0,21080720.0,-0.23350257,1.04,0.38,0.7512121,0.6540357,826024.0,472790.0,389635008.0,360038178.0
MVP,433771328.0,421583264.0,19.248783,10.015151,18.708,113.972,0.01682,0.10832,0.018,0.0086199995,22535000.0,0.344,0.025,14992000.0,3699000.0,379000.0,0.006,15544000.0,0.237,3356000.0,7.744,3.16,0.66,172000.0,-5948750.0,-0.38909423,11.78,3.76,6.6959376,6.091583,146550.0,105739.0,65623500.0,53200964.0
MX1,132997240.0,126403104.0,31.286106,8.809524,29.735,-10.753,-2.36815,-2.94331,-0.35895002,-1.68853,4251000.0,0.018,2.502,-1763000.0,-11755000.0,-10067000.0,-0.043,18318000.0,0.051,12569000.0,84.344,2.905,0.042,-9456000.0,-10678000.0,1.6428571,0.42,0.105,0.3669355,0.25353262,625943.0,151434.0,359452000.0,279958867.0
MYX,528907040.0,797419456.0,1.1573838,0.50970876,1.745,12.743,-0.20305,-0.02933,-0.00484,-0.09197,456984992.0,0.299,-0.084,211515000.0,62576000.0,-92789000.0,-0.061,137784992.0,0.082,401532000.0,38.523,2.239,0.618,99777000.0,68456248.0,-0.31521744,0.4775,0.195,0.34919354,0.35221013,1849681.0,1571874.0,1679069952.0,1360700023.0
