,MSE,rf_n_estimators,rf_max_depth,rf_max_leaves,rf_min_samples_split,rf_n_bins,scalers
154,1.791949178763632,50,100,1000,10,32,MinMaxScaler
155,1.7924246698105588,50,100,1000,10,32,QuantileTransformer
156,1.7924310311469474,50,100,1000,10,128,StandardScaler
157,1.791902546861774,50,100,1000,10,128,MinMaxScaler
158,1.79246949132421,50,100,1000,10,128,QuantileTransformer
159,1.7925008120662962,50,100,1000,10,512,StandardScaler
160,1.7919466458679718,50,100,1000,10,512,MinMaxScaler
161,1.7925779569553075,50,100,1000,10,512,QuantileTransformer
162,1.7925045690874983,50,100,1000,20,32,StandardScaler
163,1.7918784477434082,50,100,1000,20,32,MinMaxScaler
164,1.792343467479008,50,100,1000,20,32,QuantileTransformer
165,1.792350179833667,50,100,1000,20,128,StandardScaler
166,1.7917724474071892,50,100,1000,20,128,MinMaxScaler
167,1.792339573167499,50,100,1000,20,128,QuantileTransformer
168,1.7923704495543056,50,100,1000,20,512,StandardScaler
169,1.7917934388077283,50,100,1000,20,512,MinMaxScaler
170,1.7924189214625628,50,100,1000,20,512,QuantileTransformer
171,1.792334088192634,50,100,1000,50,32,StandardScaler
172,1.7917216624887842,50,100,1000,50,32,MinMaxScaler
173,1.792145793572349,50,100,1000,50,32,QuantileTransformer
174,1.792135556919528,50,100,1000,50,128,StandardScaler
175,1.7915674443150449,50,100,1000,50,128,MinMaxScaler
176,1.7921136515041642,50,100,1000,50,128,QuantileTransformer
177,1.7921291748158512,50,100,1000,50,512,StandardScaler
178,1.791552327763995,50,100,1000,50,512,MinMaxScaler
179,1.7921582359714248,50,100,1000,50,512,QuantileTransformer
180,1.7921092513054688,50,100,500,2,32,StandardScaler
181,1.7915970134764267,50,100,500,2,32,MinMaxScaler
182,1.792054741568076,50,100,500,2,32,QuantileTransformer
183,1.7920682964638268,50,100,500,2,128,StandardScaler
184,1.7916187950776703,50,100,500,2,128,MinMaxScaler
185,1.7921525555562736,50,100,500,2,128,QuantileTransformer
186,1.7921857760274005,50,100,500,2,512,StandardScaler
187,1.7916864917229238,50,100,500,2,512,MinMaxScaler
188,1.7922830374963594,50,100,500,2,512,QuantileTransformer
189,1.792219004036277,50,100,500,10,32,StandardScaler
190,1.7916711185211605,50,100,500,10,32,MinMaxScaler
191,1.7921148766206372,50,100,500,10,32,QuantileTransformer
192,1.7921213899038844,50,100,500,10,128,StandardScaler
193,1.791629204258591,50,100,500,10,128,MinMaxScaler
194,1.7921584160701003,50,100,500,10,128,QuantileTransformer
195,1.792188209745863,50,100,500,10,512,StandardScaler
196,1.7916718704027843,50,100,500,10,512,MinMaxScaler
197,1.792261344675812,50,100,500,10,512,QuantileTransformer
198,1.7921934594283135,50,100,500,20,32,StandardScaler
199,1.7916097603825771,50,100,500,20,32,MinMaxScaler
200,1.7920442575305535,50,100,500,20,32,QuantileTransformer
201,1.7920510763559536,50,100,500,20,128,StandardScaler
202,1.7915122931063945,50,100,500,20,128,MinMaxScaler
203,1.7920422756730856,50,100,500,20,128,QuantileTransformer
204,1.7920716543546245,50,100,500,20,512,StandardScaler
205,1.7915333299888485,50,100,500,20,512,MinMaxScaler
206,1.79211802351707,50,100,500,20,512,QuantileTransformer
207,1.7920393272514026,50,100,500,50,32,StandardScaler
208,1.7914676965924945,50,100,500,50,32,MinMaxScaler
209,1.7918644617833888,50,100,500,50,32,QuantileTransformer
210,1.7918554073948925,50,100,500,50,128,StandardScaler
211,1.7913249440699843,50,100,500,50,128,MinMaxScaler
212,1.7918359471046084,50,100,500,50,128,QuantileTransformer
213,1.7918509617284404,50,100,500,50,512,StandardScaler
214,1.7913121243821009,50,100,500,50,512,MinMaxScaler
215,1.791879139875434,50,100,500,50,512,QuantileTransformer
216,1.7918328182227157,50,100,200,2,32,StandardScaler
217,1.7913534487968823,50,100,200,2,32,MinMaxScaler
218,1.7917799060801762,50,100,200,2,32,QuantileTransformer
219,1.791791556506199,50,100,200,2,128,StandardScaler
220,1.7913706251740484,50,100,200,2,128,MinMaxScaler
221,1.7918681160695646,50,100,200,2,128,QuantileTransformer
222,1.7918982746434582,50,100,200,2,512,StandardScaler
223,1.791431096871539,50,100,200,2,512,MinMaxScaler
224,1.7919893301328629,50,100,200,2,512,QuantileTransformer
225,1.7919298992322727,50,100,200,10,32,StandardScaler
226,1.7914173931809416,50,100,200,10,32,MinMaxScaler
227,1.791833407339993,50,100,200,10,32,QuantileTransformer
228,1.7918400034026012,50,100,200,10,128,StandardScaler
229,1.7913794708693802,50,100,200,10,128,MinMaxScaler
230,1.7918756776045437,50,100,200,10,128,QuantileTransformer
231,1.7919040872256415,50,100,200,10,512,StandardScaler
232,1.7914207607202384,50,100,200,10,512,MinMaxScaler
233,1.791973616895222,50,100,200,10,512,QuantileTransformer
234,1.791910493292158,50,100,200,20,32,StandardScaler
235,1.791363852480382,50,100,200,20,32,MinMaxScaler
236,1.7917716050028374,50,100,200,20,32,QuantileTransformer
237,1.7917784709521911,50,100,200,20,128,StandardScaler
238,1.791273736408439,50,100,200,20,128,MinMaxScaler
239,1.791771159961819,50,100,200,20,128,QuantileTransformer
240,1.7917991818000727,50,100,200,20,512,StandardScaler
241,1.7912947015497775,50,100,200,20,512,MinMaxScaler
242,1.7918436179916204,50,100,200,20,512,QuantileTransformer
243,1.7917702549143215,50,100,200,50,32,StandardScaler
244,1.7912343428894362,50,100,200,50,32,MinMaxScaler
245,1.7916070769631651,50,100,200,50,32,QuantileTransformer
246,1.7915990186067796,50,100,200,50,128,StandardScaler
247,1.7911015434667887,50,100,200,50,128,MinMaxScaler
248,1.7915816230040051,50,100,200,50,128,QuantileTransformer
249,1.791596151440367,50,100,200,50,512,StandardScaler
250,1.7910906430167346,50,100,200,50,512,MinMaxScaler
251,1.7916234749721536,50,100,200,50,512,QuantileTransformer
