StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
AVJ,211240112.0,401518976.0,0.8051721,0.5371901,1.53,26.757,0.03446,0.05612,0.013730001,262354000.0,0.646,-0.504,59437000.0,15006000.0,9041000.0,0.022,6433000.0,0.016,196712000.0,50.037,9.018,0.968,9966000.0,-18153376.0,-0.15447158,0.635,0.32,0.52387094,0.53163046,100821.0,91581.0,406231008.0,141311421.0
AVL,84974640.0,69057584.0,643.21124,2.6363635,522.728,-25.958,0.0,-20.46394,-0.058819998,132110.0,0.0,-0.197,132110.0,-2660407.0,-2713630.0,-0.001,5541703.0,0.002,175927.0,0.599,7.64,0.011,-3011601.0,-6370029.0,1.4166665,0.036,0.007,0.018612903,0.013811594,14358761.0,39389485.0,2930160128.0,2207140288.0
AVQ,13497400.0,8872476.0,137.72858,1.0416666,90.535,-1.614,0.0,-58.173473,-0.33286,98000.0,0.0,-0.05,100000.0,-5498000.0,-5988000.0,-0.014,216000.0,0.0,2202000.0,34.24,0.121,0.024,-1669000.0,-7225750.0,0.0,0.025,0.025,0.025,0.025,0.0,0.0,539896000.0,407106934.0
AVR,31858680.0,24435152.0,3.0862536,3.0696201,2.367,-1.102,-0.022750001,-2.1813002,-0.76347,10322768.0,1.747,-0.631,7998390.0,-22174588.0,-234848.0,-0.04,6895651.0,1.167,2665828.0,28.544,2.199,1.58,-18984816.0,9121890.0,62.815792,9.18,0.067,4.410968,3.981087,16089.0,23245.0,6568800.0,3245821.0
AX1,1257131392.0,1600554752.0,1.5149721,3.064729,1.929,13.165,0.0671,0.10835,0.069699995,829804992.0,1.537,-0.052,473386000.0,121580208.0,55682000.0,0.099,54912000.0,0.102,401468000.0,98.108,0.983,0.757,166672000.0,126286384.0,0.3527696,2.53,0.555,2.325625,1.8110431,1279265.0,734496.0,541867008.0,369016165.0
AXI,27693696.0,21333674.0,49.541496,1.1034484,38.164,219.935,0.65653,0.17174,0.00228,559000.0,0.001,1.548,3317000.0,97000.0,367000.0,0.001,7218000.0,0.017,858000.0,3.395,6.8,0.058,-6735000.0,-871500.0,0.23076928,0.135,0.03,0.06587097,0.055789854,286529.0,76696.0,432713984.0,56832612.0
AYS,224283616.0,260642176.0,0.4572532,2.459547,0.531,8.398,0.0018799999,0.01481,0.01513,490502016.0,1.662,0.003,97479000.0,31038000.0,648000.0,0.003,45015000.0,0.155,85601000.0,95.589,0.756,0.309,29594000.0,42189000.0,1.375,0.81,0.24,0.7505645,0.6976268,2090862.0,6283157.0,295110016.0,271381377.0
AZS,150962144.0,119895880.0,295.53946,12.250001,234.721,-20.382,0.0,-11.6106,-0.45277,510802.0,0.003,10.108,-135310.0,-5882453.0,-5671296.0,-0.037,849549.0,0.004,2071050.0,31.9,1.863,0.04,-4883912.0,-3509733.0,2.5,1.02,0.048,0.56258065,0.40597826,2704573.0,2739207.0,308086016.0,127797778.0
AZY,104833672.0,97168976.0,168.18974,2.9999998,155.893,-54.374,-2.98616,-2.98616,-0.03405,623306.0,0.0,0.775,623306.0,-1787041.0,-1861294.0,-0.001,7036790.0,0.003,590520.0,1.812,3.064,0.014,-960740.0,-3800870.0,2.5,0.062,0.01,0.04483871,0.04647826,3446494.0,3113350.0,2496039936.0,1679677203.0
BAS,3342140.0,3198062.0,0.6942143,1.0,0.664,3.747,0.03401,0.08325,0.06335,4814277.0,0.001,-0.145,2723793.0,853556.0,163742.0,0.0,265059.0,0.0,120981.0,5.634,0.963,0.001,260436.0,-865661.0,-0.5,0.002,0.001,0.0014193549,0.0015615942,1161726.0,1808522.0,3342139904.0,1719196865.0
BBN,669540864.0,753430144.0,1.6524814,7.076503,1.86,21.249,0.02465,0.075619996,0.07438,405172992.0,3.184,0.15,146860000.0,35457000.0,9986000.0,0.073,13337000.0,0.105,105978000.0,113.504,1.034,0.732,49847000.0,41545876.0,0.560241,5.6,1.51,4.920625,4.421295,442419.0,265039.0,129255000.0,120785369.0
BCC,22515900.0,17475740.0,1.5087749,2.6315792,1.171,11.726,-0.10917,0.096370004,0.06725,14923300.0,0.282,0.074,6569509.0,1490396.0,-1629234.0,-0.031,873960.0,0.017,2487665.0,41.389,1.297,0.114,1554387.0,802725.0,-0.06249994,0.395,0.15,0.32532257,0.27384058,539739.0,889351.0,75053000.0,25694911.0
BCI,176526224.0,76356032.0,2.298728,1.1302681,0.994,-36.447,0.00491,-0.13337,-0.04804,76793000.0,0.193,0.081,20562000.0,-2095000.0,377000.0,0.001,42100000.0,0.106,772000.0,0.741,3.042,0.261,4383000.0,1417625.0,0.78787863,0.31,0.099,0.2964516,0.24920289,465308.0,261444.0,598393984.0,210849886.0
BCN,103436280.0,105625048.0,2.417093,3.6,2.468,8.705,0.25492,0.26650998,0.18375999,42793668.0,0.015,275.953,13826914.0,12133356.0,10908843.0,0.003,15427808.0,0.005,18000000.0,63.396,6.149,0.01,7017737.0,-2527798.0,0.12499988,0.046,0.022,0.037193548,0.03728261,2640001.0,5115349.0,2873230080.0,1843329342.0
BDC,144018272.0,133521984.0,247.80066,27.666666,229.741,-10.307,0.0,-22.43069,-0.76271003,581186.0,0.0,6.199,581186.0,-12954815.0,-12853667.0,-0.01,11853257.0,0.007,1709927.0,42.379,4.654,0.003,-9046809.0,-2204346.0,0.037500024,0.105,0.044,0.084419355,0.080119565,2977187.0,3088060.0,1735160064.0,1421750010.0
BET,445454368.0,329860960.0,51.908043,5.9905663,38.438,-156.839,-0.24943,-0.29393,-0.03383,8581606.0,0.019,0.345,6332983.0,-2103176.0,-2140551.0,-0.005,31624870.0,0.056,462941.0,0.766,20.062,0.106,-501151.0,-5604146.0,1.490196,0.795,0.081,0.6962903,0.52619565,3956305.0,3939958.0,701502976.0,380597731.0
BFC,44284800.0,80521984.0,0.42983267,0.51094896,0.782,-5.014,-0.112390004,-0.18256001,-0.082229994,103028000.0,0.227,0.252,9156000.0,-16061000.0,-11579000.0,-0.025,10556000.0,0.018,49650000.0,62.074,1.849,0.137,-13706000.0,-52352376.0,-0.15662646,0.125,0.047,0.07278339,0.08321221,931394.0,491555.0,632640000.0,445275976.0
BGA,1693087104.0,1436493184.0,1.1338506,1.475237,0.962,19.473,0.01424,0.02569,0.0164,1493218944.0,6.972,-0.024,289048000.0,73767000.0,21268000.0,0.099,22882000.0,0.107,258528000.0,31.759,1.339,3.796,137731008.0,60116000.0,0.25842702,5.78,3.52,5.2551513,5.1132855,895594.0,563741.0,302336992.0,204840944.0
BHL,32597348.0,72954360.0,1.3787898,0.61290324,3.086,10.675,-0.17947,0.26098,0.03749,23642000.0,0.069,0.299,18724000.0,6834000.0,3392000.0,-0.012,659000.0,0.002,40623000.0,75.68,1.433,0.155,1903000.0,-56626000.0,-0.26923072,0.13,0.07,0.095,0.08347826,2664.0,0.0,343129984.0,32703730.0
BID,166814672.0,126808336.0,17.769743,15.147058,13.508,-18.615,-0.73614997,-0.73800004,-0.45478,9387568.0,0.075,1.039,-719268.0,-6812117.0,-6910711.0,-0.055,8333416.0,0.064,389477.0,4.392,4.172,0.068,-3088397.0,-1252694.0,-0.019047618,1.39,0.39,1.1517742,1.0504348,340309.0,656122.0,161956000.0,62191447.0
BIQ,16719361.0,7072372.0,2.6191835,1.4545455,1.108,-1.079,-1.60868,-0.97704005,-0.30581,6383425.0,0.018,0.006,1124785.0,-6553200.0,-10268892.0,-0.029,37529.0,0.0,2151813.0,73.143,0.699,0.011,-2020862.0,-1611162.0,0.60000014,0.021,0.003,0.015354839,0.010608695,1837489.0,0.0,1044960000.0,338181492.0
BIS,54728692.0,74721696.0,0.49430263,1.4143193,0.675,6.944,0.06084,0.08140001,0.0689,110719000.0,2.451,0.13,23546000.0,10760000.0,6736000.0,0.143,672000.0,0.015,16785000.0,39.42,1.671,0.852,-2001000.0,-3998688.0,0.14761913,127.5,0.61,5.3932257,2.1301086,51459.0,20898.0,45418000.0,24586130.0
BLG,57083664.0,52530792.0,87.04034,4.647059,80.098,-10.558,0.0,-8.88873,-0.23983,655830.0,0.001,-0.193,-1242206.0,-4975567.0,-5994113.0,-0.013,5430240.0,0.008,1724485.0,13.914,7.404,0.017,-4348321.0,-3764416.0,-0.122222245,0.135,0.018576,0.08845162,0.0870942,806810.0,900466.0,722577984.0,572715843.0
BLX,379645696.0,476060384.0,1.4989288,4.3257,1.88,13.704,0.087749995,0.11958,0.08762,253278000.0,1.152,0.093,162251000.0,34738000.0,22225000.0,0.101,44856000.0,0.202,144302000.0,165.925,1.554,0.393,55351000.0,51857876.0,0.61904776,1.85,0.39,1.6448387,1.3798188,202739.0,150096.0,223320992.0,91083084.0
BMH,26777824.0,28857684.0,6.264141,23.125,6.751,-62.258,-0.060500003,-0.16545999,-0.09806,4274780.0,0.03,0.066,733143.0,-463519.0,-258643.0,-0.002,289203.0,0.002,2369106.0,200.602,0.76,0.008,827106.0,645918.0,-0.11904758,0.21,0.185,0.19080645,0.19695652,4524.0,5000.0,144744992.0,12780962.0
BNO,110287208.0,101587408.0,34.54522,7.5000005,31.82,-15.191,-2.22966,-2.53949,-0.115,3192546.0,0.006,-0.359,-2635298.0,-6687339.0,-5818975.0,-0.013,4577747.0,0.007,12237277.0,96.493,1.007,0.02,-3903193.0,725294.0,1.2556391,0.19,0.03,0.14911291,0.1263803,399028.0,517803.0,735248000.0,475982667.0
BOA,16157881.0,14104272.0,572.42645,3.2098763,499.673,-43.685,41.55185,-12.114611,-0.053969998,28227.0,0.001,1084.692,28227.0,-322860.0,1172884.0,0.021,500622.0,0.009,150000.0,3.335,1.815,0.081,-315003.0,-391989.0,0.08333337,0.39,0.175,0.23580645,0.2457971,27814.0,37622.0,62145700.0,31597842.0
BOL,66304972.0,105772000.0,0.35737175,0.5762082,0.57,10.018,-0.091400005,-0.03211,-0.01904,185535008.0,0.43,0.005,138097000.0,10558000.0,-16959000.0,-0.039,2131000.0,0.005,41598000.0,36.086,0.918,0.269,28755000.0,33273868.0,0.24000001,0.19,0.072,0.1733871,0.12963043,215407.0,124393.0,427774016.0,317032020.0
BOT,141041200.0,116816656.0,18.646732,6.0416665,15.444,-7.002,-2.21193,-2.20723,-0.68398005,7563856.0,0.008,-0.821,-6135137.0,-16683310.0,-16730708.0,-0.018,24645184.0,0.025,420624.0,1.78,17.98,0.024,-17358586.0,-11105778.0,0.6666666,0.18,0.023,0.13451613,0.0940471,3690386.0,4918213.0,972697984.0,741837890.0
BPP,23231990.0,29220846.0,1.350726,3.0000002,1.699,32.058,-0.10335,-0.03341,-0.02089,17199632.0,0.024,0.439,3364008.0,911496.0,-1777623.0,-0.002,3563601.0,0.004,10175271.0,129.82,1.02,0.009,906478.0,-4215350.0,0.58823526,0.038,0.013,0.034,0.028695652,1192381.0,1505103.0,860444032.0,447125780.0
BRI,107423488.0,133307552.0,0.4315511,1.2804878,0.536,10.96,0.01785,0.03587,0.03608,248924144.0,3.998,0.099,71583446.0,12163431.0,4444257.0,0.071,8712184.0,0.139,50190436.0,69.969,1.719,1.148,14927515.0,-3403811.0,-0.0869565,1.69,1.19,1.3735484,1.450471,5325.0,4804.0,73077200.0,28873131.0
BRK,10800001.0,13104702.0,7.858627,1.0,9.536,-578.344,-0.04151,-0.23451,-0.0147,1374286.0,0.001,-0.796,1727886.0,-22659.0,-57047.0,0.0,624538.0,0.001,5715465.0,69.038,0.192,0.008,-190674.0,-3999864.0,0.1428572,0.013,0.002,0.008193549,0.006134058,7051595.0,8086596.0,1350000000.0,631024678.0
BRN,886900352.0,830085696.0,39707.215,136.25,37163.58,-66.55,0.0,-565.90546,-0.97591,22336.0,0.0,-0.799,75574.0,-12473156.0,-13674665.0,-0.01,5346097.0,0.003,525967.0,8.923,4.88,0.004,-9896324.0,-5541081.0,10.12245,0.97,0.03,0.48387095,0.36952898,11903061.0,12125574.0,1627340032.0,1056010356.0
BRU,63514876.0,41977952.0,5.0877023,1.4134616,3.363,-2.504,0.0,-3.21756,-0.30115998,12484000.0,0.029,-0.171,6643000.0,-16767000.0,-45796000.0,-0.106,25367000.0,0.059,3614000.0,8.07,4.699,0.104,-14876000.0,-21208376.0,-0.106060684,0.175,0.062,0.12991935,0.09831522,1422235.0,1083830.0,432073984.0,294743764.0
BSA,138660800.0,117169544.0,0.28524747,4.2666664,0.241,9.244,-0.0019699999,0.01708,0.03483,486107008.0,1.128,-0.163,56966000.0,12675000.0,7802000.0,-0.002,37742000.0,0.087,16466000.0,50.997,1.017,0.075,31285000.0,14953875.0,-0.17948717,0.41,0.23,0.33596775,0.30278987,223170.0,249303.0,433315008.0,317979127.0
BSE,318062720.0,227910640.0,1.5290301,0.87096775,1.096,2.1,0.19031,0.24956,0.06599,208016000.0,0.178,0.161,68683000.0,108512000.0,39588000.0,0.033,162559008.0,0.139,74135000.0,20.438,2.674,0.31,105525000.0,65674124.0,0.12500012,0.325,0.12,0.2830645,0.26403984,379184.0,292587.0,1171609984.0,691273199.0
BSM,24130080.0,27447816.0,16.965141,6.0,19.298,-2.42,0.0,-8.508289,-0.53471,1422333.0,0.001,-0.411,-1732206.0,-11342070.0,-12214489.0,-0.004,1706407.0,0.0,5586968.0,222.843,0.4,0.001,-4846463.0,-7380875.0,0.0,0.009,0.002,0.004870968,0.003688406,13729024.0,87577229.0,4021680128.0,2528687841.0
BTH,447866304.0,339783872.0,14.444505,5.023148,10.959,-28.766,-0.39367,-0.41521,-0.10108,31006000.0,0.102,0.602,26234000.0,-11812000.0,-12206000.0,-0.04,71354000.0,0.189,2075000.0,2.537,2.904,0.216,1836000.0,3146250.0,0.15425539,1.6,0.265,1.0696775,1.1233333,1751214.0,2585762.0,412780000.0,302495403.0
BUB,395240512.0,347540896.0,7.2328825,2.744681,6.36,-32.421,-0.14220999,-0.26248,-0.05672,54644952.0,0.102,0.13,10819163.0,-10719542.0,-7771138.0,-0.014,26408560.0,0.046,4588936.0,3.479,3.367,0.235,-21917078.0,-20571338.0,-0.11034489,1.19,0.4,0.5891935,0.7521739,1844871.0,5031452.0,612776000.0,429156833.0
BUD,162094352.0,155365728.0,5.228959,5.5,5.012,-11.9,-1.46061,-0.65900004,-0.1344,30999354.0,0.014,0.282,-1418448.0,-13055886.0,-45277908.0,-0.02,2502462.0,0.001,14805792.0,55.556,0.312,0.01,-10255099.0,1695610.0,0.8965517,0.1,0.006,0.05117742,0.052684784,8289586.0,15319845.0,2947170048.0,2080439394.0
BVS,748909888.0,683608640.0,2.7206275,2.3820755,2.483,10.518,0.14571,0.19051,0.08043,275271008.0,1.13,0.066,96388000.0,64995000.0,40110000.0,0.162,99080000.0,0.405,42330000.0,13.622,2.213,1.272,19423000.0,-1986125.0,-0.44198895,5.98,2.85,3.1433334,3.4938571,2037332.0,888556.0,247164992.0,240807153.0
BWF,25572268.0,25171286.0,2.1509182,1.173913,2.117,4.276,0.38153,0.47422,0.10859,11889000.0,0.188,0.376,6669000.0,5887000.0,4217000.0,0.072,2724000.0,0.043,2323000.0,10.652,2.711,0.345,1668000.0,3311375.0,-0.26363635,0.6,0.275,0.4398387,0.4263587,31425.0,22516.0,63141400.0,13884804.0
BWR,201239184.0,319207264.0,8.445138,0.9186441,13.396,22.843,-0.18146,0.24285999,0.01028,23829000.0,0.167,-0.066,17474000.0,13974000.0,-4324000.0,-0.03,11212000.0,0.079,87000000.0,33.399,0.862,1.475,8540000.0,14153000.0,0.01498127,1.455,0.925,1.4201614,1.4028261,4260.0,2629.0,148516000.0,27477595.0
BWX,570734976.0,581577216.0,3.040871,1.7006238,3.099,22.053,0.08084,0.12316,0.0365,187688000.0,1.511,0.273,108849000.0,26372000.0,15172000.0,0.121,28639000.0,0.219,75254000.0,25.188,1.458,2.405,27985000.0,14477875.0,0.0024510622,5.18,2.4,4.0575,4.234245,264665.0,112843.0,139544000.0,111962752.0
BXN,7041595.0,5394036.0,3.0330353,2.7499998,2.323,-17.927,-0.25546,-0.14029,-0.05572,2321633.0,0.004,0.224,1277452.0,-300889.0,-593095.0,-0.001,1747886.0,0.003,47462.0,1.819,4.228,0.004,48249.0,230516.0,-0.35294122,0.024,0.007,0.012064517,0.012547102,472384.0,1406035.0,640145024.0,245899052.0
BYE,166448000.0,168409680.0,7.777124,2.2222223,7.869,13.175,0.00319,0.08534,0.014400001,21402256.0,0.028,-0.404,12486363.0,12782803.0,68348.0,0.0,16644701.0,0.016,21286488.0,28.746,2.01,0.072,13680071.0,-40176704.0,-0.41818184,0.36,0.105,0.16774194,0.19018117,940575.0,1399276.0,1040300032.0,717549023.0
BYI,30668500.0,31101484.0,0.35561392,1.4792899,0.361,-3.08,-0.07414,-0.12743,-0.096219994,86241000.0,1.406,0.155,5082000.0,-10097000.0,-6394000.0,-0.104,8183000.0,0.133,8316000.0,39.51,1.079,0.338,2446000.0,3153500.0,-0.375,0.8,0.5,0.5048387,0.5363406,908.0,0.0,61337000.0,10303384.0
CAA,104345016.0,177937424.0,0.27017617,1.0763711,0.461,8.715,0.02318,0.039049998,0.0339,386211008.0,23.768,-0.028,124743000.0,20418000.0,8951000.0,0.545,24918000.0,1.505,98515000.0,101.636,1.708,5.853,26471000.0,19543376.0,0.7499807,7.0,2.34002,6.2603226,4.7889724,14740.0,12290.0,16562700.0,14801765.0
CAF,32463676.0,21382668.0,0.24793166,2.2058823,0.163,-23.446,-0.015269999,-0.01001,-0.025729999,130938000.0,0.886,0.21,8180000.0,-912000.0,-2000000.0,-0.014,12187000.0,0.084,988000.0,6.653,1.351,0.102,4095000.0,4969000.0,0.79999995,0.23,0.08,0.22096774,0.16945653,64670.0,112634.0,144283008.0,90590948.0
CAG,20405286.0,16750448.0,15.443691,4.574468,12.678,89.796,0.0,0.08645,0.01382,1321270.0,0.014,0.16,1134427.0,186538.0,-8168952.0,-0.086,3763257.0,0.04,108420.0,2.452,9.412,0.047,117826.0,7559754.0,-0.62931037,0.63,0.19,0.22225806,0.2325,17044.0,10227.0,94908304.0,37667207.0
CAJ,281902528.0,347016224.0,1.8330234,1.9503546,2.256,12.479,0.00562,0.105550006,0.04559,153791008.0,0.189,-0.047,40676000.0,27808000.0,865000.0,0.001,13763000.0,0.013,79342000.0,55.084,0.505,0.141,35009000.0,23612000.0,0.100000024,0.305,0.155,0.27790323,0.2532971,886126.0,1051509.0,1025100032.0,944654836.0
CAN,160694640.0,123908880.0,100.45933,1.3934427,77.462,-8.46,0.0,-10.20988,-0.12878999,1599599.0,0.011,-0.59,958898.0,-14646605.0,-16937388.0,-0.119,1553995.0,0.008,9322110.0,15.263,1.931,0.427,-17618574.0,-47255484.0,-0.50416666,1.37,0.29,0.6117742,0.48083332,3760375.0,1710804.0,270075008.0,172698388.0
CAT,335723584.0,304176992.0,3.3328063,2.6972625,3.02,-132.944,-0.07618,-0.09244,-0.03204,100733000.0,0.531,-0.045,29164000.0,-2288000.0,-7674000.0,-0.04,27522000.0,0.145,13054000.0,11.052,1.178,0.621,22228000.0,8882875.0,-0.11609501,2.46,0.5,1.8404839,1.9371377,391194.0,380261.0,200432000.0,144944476.0
CAZ,15149105.0,4903012.0,48.58441,0.91304344,15.724,-2.747,5.51412,-7.01672,-0.07123,311810.0,0.001,0.047,311810.0,-1785090.0,1719359.0,0.005,10085562.0,0.029,222344.0,1.41,29.052,0.046,-1708271.0,15104647.0,0.8260869,0.055,0.018,0.045774195,0.044731885,1755474.0,2053088.0,360692992.0,220548768.0
CBR,397647680.0,391142912.0,10.210494,4.466338,10.043,-15.769,-2.9283898,-0.75598997,-0.14964,38945000.0,0.388,1.047,-11574000.0,-24804000.0,-114046000.0,-1.14,33861000.0,0.232,28193000.0,31.709,1.748,0.609,-30975000.0,-37224752.0,-0.33496332,4.44,0.8,2.7729032,2.3980434,180264.0,291554.0,146194000.0,112790587.0
CBY,11745825.0,11583642.0,1956.3333,1.1052631,1929.321,-8.099,0.0,-239.68887,-0.07961,6004.0,0.0,-0.329,6004.0,-1430253.0,-1285601.0,-0.015,67902.0,0.001,21548.0,0.204,0.438,0.095,-863925.0,-3986919.0,-0.4166667,0.24,0.06,0.10677419,0.11650725,103662.0,71025.0,111865000.0,63017963.0
CCA,46316828.0,29995904.0,179.30576,12.777779,116.123,-9.257,0.0,-12.5927,-0.76637,258312.0,0.002,-0.892,-1552101.0,-3240365.0,-3512640.0,-0.028,2966200.0,0.01,332675.0,14.305,3.205,0.009,-2869046.0,-1547866.0,-0.28125,0.26,0.047756,0.12782258,0.12977102,954102.0,1334587.0,402755008.0,207832443.0
CCG,21902532.0,16485804.0,1.1324918,1.260274,0.852,8.018,0.13315,0.082270004,0.05572,19340124.0,0.104,-0.07,4885795.0,2055999.0,2575069.0,0.014,2407437.0,0.013,1285153.0,9.173,1.233,0.073,1486820.0,310146.0,0.5081967,0.125,0.034,0.09864516,0.093028985,460308.0,1039447.0,238071008.0,77980862.0
CCX,880352576.0,763418048.0,4.5264206,13.75,3.925,33.28,0.049650002,0.091309994,0.09616999,194492000.0,1.012,0.226,93473000.0,22939000.0,9160000.0,0.05,21382000.0,0.111,44691000.0,82.931,1.2,0.28,26297000.0,13871375.0,0.23397434,4.24,0.24,3.7860606,3.235,680405.0,404781.0,228663008.0,165696002.0
CDD,136435872.0,268372448.0,0.13794373,0.529595,0.271,3.799,0.057210002,0.03203,0.02537,989068992.0,2.222,0.033,84411000.0,70647000.0,-67078000.0,0.127,57723000.0,0.129,174231008.0,60.734,1.268,0.642,73477000.0,100230000.0,-0.08108109,0.44,0.195,0.34080645,0.3082971,177358.0,188239.0,401281984.0,155955853.0
CDX,77646824.0,70503256.0,15.217366,10.499999,13.817,-21.793,-0.65073997,-0.65528,-0.17497,5102514.0,0.007,0.143,4404338.0,-3235202.0,-3320427.0,-0.005,2100000.0,0.003,2236337.0,38.033,1.288,0.008,-1698851.0,-1430235.0,2.111111,0.115,0.014,0.07287097,0.054144926,2389680.0,2036272.0,924366976.0,444643540.0
CDY,13357260.0,8141419.0,1.7851784,1.3461537,1.088,-1.865,-0.65585,-0.61512,-0.2331,7482311.0,0.077,-0.025,4948465.0,-4365504.0,-4907296.0,-0.05,6970967.0,0.056,1961465.0,19.993,3.338,0.078,-4013105.0,-2068756.0,-0.47500002,0.49,0.083,0.10870968,0.108355075,189442.0,406918.0,127212000.0,81828787.0
CE1,15172291.0,12775177.0,-50.056385,0.25,-42.148,-2.925,0.0,14.708,-0.04269,-303104.0,0.0,-0.952,48780.0,-4368043.0,-3915891.0,-0.002,3343622.0,0.002,946479.0,1.539,5.743,0.028,-2302486.0,-19613210.0,0.4000001,0.01,0.002,0.0072580646,0.006978261,2582407.0,3533779.0,2170970112.0,1382848557.0
CFO,14252189.0,10900181.0,16.620977,1.7647058,12.712,-3.816,0.0,-4.10731,-0.21133,857482.0,0.006,-0.011,-185016.0,-2856641.0,-4517939.0,-0.03,418118.0,0.002,4359696.0,98.244,0.929,0.017,-2957905.0,-1603743.0,-0.53846157,0.08,0.016,0.032935485,0.029671833,20875742.0,8578899.0,475072992.0,146943947.0
CG1,35455000.0,34445816.0,2.2459548,3.9682539,2.182,-10.95,-0.27801,-0.24481001,-0.12409,15786160.0,0.159,-0.234,5044315.0,-3145598.0,-4388789.0,-0.044,312765.0,0.003,7834844.0,114.848,1.151,0.063,-2756365.0,-5507830.0,-0.42528737,0.495,0.12,0.1748387,0.18668479,286781.0,1773308.0,141820000.0,85975032.0
CGA,39892104.0,37025208.0,8.6309185,4.057971,8.011,-26.908,-0.25162,-0.29986998,-0.061739996,4622000.0,0.098,0.486,3468000.0,-1376000.0,-1163000.0,-0.025,3941000.0,0.083,1252000.0,12.795,3.03,0.207,-1234000.0,-2407842.0,0.8666667,0.9,0.25,0.8487097,0.6075,10911.0,3600.0,47490600.0,25225613.0
CGB,51343648.0,34000552.0,28.816853,2.9999998,19.083,-5.958,0.0,-3.2412,-0.26363,1781723.0,0.001,5.148,469863.0,-5706358.0,-8012138.0,-0.003,7417095.0,0.002,4429163.0,45.39,1.304,0.003,-4776262.0,-3582728.0,-0.40000004,0.02,0.004,0.007774194,0.0058115944,59625622.0,48880510.0,5704849920.0,2816264230.0
CGC,1571253632.0,2112588160.0,1.4457562,2.6702998,1.944,21.522,-0.03017,0.037469998,0.01869,1086803968.0,2.941,0.068,689428000.0,98161000.0,-32794000.0,-0.089,83037000.0,0.207,596451008.0,96.768,1.546,1.468,127323000.0,-2032000.0,0.43589747,4.48,2.38,4.0563636,3.6217856,1124696.0,733531.0,400830016.0,375317533.0
CGL,448646976.0,504473056.0,3.6771932,2.3859355,4.135,62.242,-0.01695,0.03701,0.011729999,122008000.0,2.133,0.234,50859000.0,8105000.0,-1970000.0,-0.036,32546000.0,0.413,86986000.0,45.551,1.452,2.389,22927000.0,20559624.0,0.35560858,5.92,1.205,5.6205716,4.3434505,750540.0,361253.0,78710000.0,57877858.0
CGO,10997532.0,8888870.0,0.4413312,3.888889,0.357,7.716,-0.13423,0.044499997,0.060549997,24919000.0,0.651,-0.024,22793000.0,1152000.0,-3345000.0,-0.087,3133000.0,0.082,1309000.0,47.721,1.226,0.072,1549000.0,1472125.0,0.19148934,0.365,0.086,0.28451613,0.21427536,32149.0,84921.0,39276900.0,15692059.0
CGS,202583232.0,196749808.0,8.552649,12.526317,8.306,-188.079,-0.055549998,-0.06809,-0.039619997,23686608.0,0.149,0.306,10100131.0,-1046102.0,-1315796.0,-0.008,10330777.0,0.061,5052309.0,31.325,1.226,0.095,730211.0,-527553.0,1.8,1.47,0.29,1.0835484,0.85210145,142067.0,52768.0,170238000.0,79879266.0
CHN,1343368320.0,1154277888.0,2963.7332,22.329546,2546.563,-98.728,0.0,-25.98904,-0.18802999,453269.0,0.002,0.413,453269.0,-11691495.0,-11399659.0,-0.01,54273512.0,0.176,58851.0,0.11,27.447,0.176,-10220559.0,-4238442.0,12.7894745,4.92,0.145,4.166875,2.777482,2335048.0,2001644.0,341824000.0,261443375.0
CI1,39216548.0,37755848.0,2.8810441,3.4444444,2.774,7.275,0.18669,0.37585998,0.1576,13611922.0,0.013,1.326,13611922.0,5189807.0,2541275.0,0.002,3154490.0,0.003,2465450.0,22.307,1.101,0.009,3143005.0,7400571.0,0.54999995,0.043,0.02,0.031258065,0.027471015,9564156.0,6337924.0,1265049984.0,433095051.0
CII,101711280.0,69002376.0,0.8103451,0.5346294,0.55,5.166,0.00025,0.03153,0.00983,125516000.0,1.086,-0.022,17379000.0,13357000.0,32000.0,0.0,52389000.0,0.453,19680000.0,10.346,4.831,1.646,9195000.0,1829875.0,-0.2666667,1.2,0.75,0.9603226,0.9115942,2139.0,2000.0,115581000.0,52960419.0
CIO,5330800.0,3933142.0,1.3962415,2.0,1.03,-1.846,-0.62672,-0.5782,-0.34474,3817964.0,0.018,0.001,1486498.0,-2130830.0,-2392816.0,-0.011,713079.0,0.003,2166781.0,197.336,0.56,0.005,-1304666.0,-598641.0,2.3333333,0.03,0.001,0.012786226,0.0201585,1084632.0,2586954.0,533080000.0,178251921.0
