StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
CKF,1125006592.0,1679730304.0,1.0894861,3.1159186,1.627,13.529,0.026500002,0.08211,0.04557,1032603008.0,8.857,0.113,516519000.0,124158000.0,27364000.0,0.233,145832992.0,1.251,700547008.0,194.016,1.035,3.097,170686000.0,98230752.0,0.12865496,11.14,3.5,9.606667,9.993857,374141.0,359062.0,116581000.0,105903089.0
CTD,2271492864.0,1794371840.0,7.179998,3.3683999,5.672,121.332,-0.02587,-0.00912,-0.00204,316364000.0,2.906,-0.602,102377000.0,14789000.0,-8185000.0,-0.075,92843000.0,0.852,53095000.0,9.514,1.216,4.943,79249000.0,56280376.0,-0.048571467,21.76,4.355,17.128437,15.949148,505862.0,312435.0,136426000.0,87061239.0
CWN,6500717056.0,7346219520.0,2.905738,1.3673266,3.284,14.481,0.03554,0.106920004,0.0202,2237199872.0,3.304,-0.514,313700000.0,507300000.0,79500000.0,0.117,286900000.0,0.424,1132400000.0,23.818,0.682,7.021,326900000.0,-452375008.0,-0.16594267,11.98,5.84,9.89303,9.346572,1463676.0,950205.0,677158016.0,357627598.0
DLC,7060340.0,5624348.0,0.42399353,0.77777785,0.338,-12.471,-0.01789,-0.03249,-0.03655,16652000.0,0.024,0.135,4221000.0,-451000.0,-298000.0,0.0,2261000.0,0.002,825000.0,11.83,4.386,0.009,427000.0,749750.0,0.75,0.011,0.004,0.006516129,0.006293478,2761044.0,5376172.0,1008620032.0,473113949.0
DMP,7961883136.0,9166968832.0,4.1788936,20.1754,4.811,35.655,0.072680004,0.10979,0.06688,1905261056.0,22.142,0.363,639756000.0,257099008.0,138483008.0,1.608,245678000.0,2.849,1476999040.0,375.47,0.975,4.561,311409984.0,147865744.0,0.70344305,98.04,41.66,87.00424,82.27157,244073.0,152827.0,86523400.0,57921947.0
DNA,82771128.0,75988912.0,1.5475568,0.4060606,1.421,9.463,-1.10097,-0.03866,-0.00529,53485036.0,0.065,-0.73,21489507.0,8029684.0,-58885432.0,-0.072,12985151.0,0.016,31805940.0,23.059,0.217,0.165,-3211922.0,-570979.0,-0.056338012,0.092,0.026,0.06312903,0.040449277,753399.0,255818.0,1235389952.0,443238761.0
EBG,38635268.0,66179300.0,1.8650866,1.0677383,3.195,21.813,-0.04934,0.06266,0.01137,20715000.0,0.51,-0.314,8740000.0,3034000.0,-1022000.0,-0.025,712000.0,0.017,28256000.0,78.109,0.979,0.871,1160000.0,-1512875.0,-0.051020443,1.005,0.79,0.92903227,0.8830797,3700.0,0.0,41543300.0,11130290.0
EXP,116720512.0,138156480.0,1.3354445,1.5,1.581,37.799,-0.58824,-0.06097,-0.02192,87402000.0,0.157,-0.558,29823000.0,3655000.0,-39660000.0,-0.093,12469000.0,0.022,33905000.0,43.587,1.93,0.14,6533000.0,-3176142.0,0.0,0.29,0.033,0.22354838,0.20096014,299822.0,100762.0,555811968.0,355413881.0
FLT,2804426240.0,2004350208.0,1.477503,2.0111413,1.056,-3.078,-0.34886003,-0.38194,-0.120950006,1898084992.0,15.826,-0.779,300986000.0,-651230976.0,-662166016.0,-5.521,1787628032.0,8.984,990299008.0,71.082,1.313,7.001,5654000.0,331648000.0,-0.63523316,41.03,8.56,15.58394,13.9825,3256435.0,2144933.0,199178000.0,149441303.0
GAP,85371216.0,123826304.0,0.5417196,0.96573204,0.786,9.591,0.023599999,0.044109996,0.0251,157592992.0,0.568,0.152,80472000.0,12911000.0,3719000.0,0.013,27811000.0,0.101,66266000.0,74.99,2.106,0.321,7159000.0,3962125.0,0.6315789,0.37,0.089,0.34145162,0.26708335,177175.0,58257.0,275391008.0,113293231.0
