StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
ISU,61001080,54803192,.5065483000,.5214153000,.4550000000,16.3010000000,-.3597600200,-.0435699970,-.0163900010,-.1505200000,120425000,.5530000000,,34522000,3362000,-20237000,-.1990000000,10522000,.0480000000,6701000,5.8410000000,2.1600000000,.5370000000,1850000,-6941500,-.4343434600,.5100000000,.1750000000,.2843548400,.2844202800,68648,18804,217860992,124980545
JXT,16314540,14299723,1713.7122000000,5.0769230000,1502.0720000000,-2.3960000000,.0000000000,-629.5164000000,-.4836700000,-1.5564301000,9520,.0000000000,-.7440000000,-3799483,-5969387,-10438665,-.0440000000,2404848,.0100000000,390009,11.7090000000,3.5510000000,.0130000000,-5670183,-3376088,-.3999999800,.1820000000,.0130000000,.0817096750,.0756449250,1127572,2048782,247190000,142544776
LVE,3567009,2585694,.8607954400,3.8260870000,.6240000000,2.8130000000,.1801900000,.1912200000,.2237899900,1.2161200000,4143852,.1020000000,,4085364,919313,746684,.0180000000,1616499,.0400000000,635187,67.5990000000,1.5690000000,.0230000000,163289,-43199,1.0952382000,.0910000000,.0330000000,.0738387100,.0587971020,56784,24700,40534200,21536615
MAQ,1078518528,1164401664,4.0514436000,8.8294900000,4.3740000000,24.3890000000,.0508699980,.0895800000,.0613899980,.1183500000,266206000,12.4940000000,.0700000000,98305000,47743000,13542000,.6270000000,37894000,1.7760000000,123775000,101.3380000000,1.2090000000,5.7240000000,45905000,-3513475,.9290076500,55.2600000000,19.2000000000,51.9164500000,48.3694200000,9386,6299,21339900,6108345
MNF,373909024,378269568,1.6192636000,2.6820388000,1.6380000000,13.4450000000,.0517400000,.0857199950,.0592700020,.1081500000,230912992,2.8760000000,.0120000000,96427000,28135000,11947000,.1470000000,46164000,.5480000000,51777000,37.2620000000,2.1880000000,1.6480000000,28862000,13404250,-.0829875500,6.2000000000,2.7700000000,4.4900000000,4.8280435000,172117,144462,84594800,54127947
MSM,53072020,52851412,779.6225000000,21.0000000000,776.3820000000,,.0000000000,-15.8031700000,-.2272800000,-.2525500000,68074,.0000000000,17017.5000000000,-429759,,-420199,-.0010000000,26800,.0000000000,0,,.1380000000,.0030000000,-466687,-359096,3.8461537000,.0800000000,.0050000000,.0613870960,.0468768100,797051,714453,842412992,408354084
MWR,21474180,,,,,,,,,,,,,-56962,,,,,,,,,,,,,.3300000000,.0690000000,.1351428600,.1383759000,320667,316888,,
PNW,60086256,80668696,.8996969000,1.3131312000,1.2080000000,24.6320000000,-.0652800000,.0121400000,.0062800003,-.1010800000,66785000,.3270000000,-.1630000000,38789000,3275000,-4360000,-.0210000000,7652000,.0330000000,28368000,67.1810000000,1.1430000000,.1980000000,12833000,-1935625,.0000000000,.3000000000,.2000000000,.2554285500,.2519071400,3443,8250,231100992,34502777
PPL,25385520,27958170,1.0495644000,,1.1560000000,-10.5680000000,-.4064000000,-.1297300000,-.1087500000,,24186722,.2060000000,-.1460000000,4683870,-2645437,-9658481,-.0840000000,1768401,.0150000000,26905944,,.2010000000,-.1590000000,1422369,-2543770,1.4000001000,.0750000000,.0030000000,.0218387100,.0223710570,7488999,20185273,1057729984,110667242
PRT,71434344,59187408,.4450987300,1.1676646000,.3690000000,3.9840000000,.0411900000,.0623199980,.0734700040,.1138500050,160491008,.4380000000,-.2570000000,26600000,14856000,6611000,.0180000000,17148000,.0470000000,4901000,7.9880000000,3.0010000000,.1670000000,28892000,28572716,.2999999500,.2150000000,.0850000000,.1990322600,.1443876800,220735,150022,366329984,196473931
