StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
AGD,113214008,114721056,1.1633767000,1.9417475000,1.1790000000,2.5980000000,.1485700000,.3145800000,.1913200000,.2652900000,97315000,.1760000000,-.1020000000,47904000,44160000,14458000,.0250000000,10015000,.0180000000,12857000,22.3620000000,1.1000000000,.1030000000,33113000,24023124,1.1052632000,.4100000000,.0930000000,.2069354800,.2318478200,207079,123131,566070016,59290305
AGE,15822729,14918774,2736.0762000000,1.8333333000,2579.7640000000,-16.0530000000,.0000000000,-161.6444900000,-.0643200000,-.1145400000,5783,.0000000000,-.8500000000,5783,-929317,-985479,-.0010000000,903949,.0010000000,0,,3.8600000000,.0060000000,-713455,-746070,3.4000000000,.0175000000,.0010000000,.0115806450,.0067934780,22999001,31357995,2353989888,1119874780
AGR,26376586,22846856,415.1831700000,.7520000000,359.6230000000,-8.2150000000,.0000000000,-43.9055900000,-.0478800000,-.0773700000,63530,.0000000000,-.8860000000,,-2781140,-2570575,-.0130000000,3070249,.0110000000,0,,4.7110000000,.1250000000,-3460070,-5505262,-.2166667000,.1200000000,.0350000000,.0847096740,.0575797100,381243,501740,280601984,219112902
AGS,29419502,27983514,1548.3949000000,1.9642859000,1472.8160000000,-20.2630000000,.0000000000,-94.7368400000,-.0744100000,-.1194699900,19000,.0000000000,-.6830000000,19000,-1381000,-1751000,-.0110000000,1561000,.0090000000,125000,.8390000000,3.7640000000,.0840000000,-1035000,-3487625,.5714286600,.2628570000,.0844890000,.1738709700,.2005853000,28724,39005,178300000,54650758
AGY,173315008,169031456,1468.8958000000,7.3913045000,1432.5910000000,-119.0840000000,.0000000000,-12.0269300000,-.0350700000,-.0980799940,117990,.0000000000,.1760000000,114159,-1419429,-2458187,-.0020000000,4402844,.0040000000,118942,.5120000000,32.7440000000,.0230000000,-1871030,-719011,1.3287673000,.2150000000,.0260000000,.1130645200,.0677427600,5057540,7129318,1019500032,727832773
AHK,1670403,2429330,4283.0845000000,,6229.0510000000,-6.3990000000,.0000000000,-2004.6488000000,-.1446000000,,390,.0000000000,-.9760000000,,-379640,-1569887,-.0310000000,89390,.0020000000,750000,,.0090000000,-.1040000000,-97709,7042260,.0000000000,.0340000000,.0340000000,.0340000000,.0340000000,0,0,52321200,21576823
AHQ,71518776,45047696,7564.9224000000,3.3200000000,4764.9350000000,,.0000000000,-172.5377500000,,,9454,.0000000000,-.7030000000,-4188744,,-1436200,-.0030000000,442055,.0010000000,4537591,27.6210000000,1.9250000000,.0250000000,-1860688,,-.3851852400,.1400000000,.0480000000,.0677741900,.0663478200,1425351,3927674,861672000,201690353
AIS,157452656,154811168,.6926690000,1.7291666000,.6810000000,5.2220000000,-.1687100100,-.0994200000,-.0759800000,-.5095200000,227312992,.4410000000,.0040000000,10010000,29646000,-38351000,-.0740000000,56834000,.0300000000,56165000,76.2600000000,1.7480000000,.0480000000,30238000,21188124,.5660376500,.1300000000,.0280000000,.1030000000,.0706558000,8129475,9727780,1897020032,1048648138
AIV,30112608,32682662,557640.9000000000,4.5945945000,605234.5000000000,-53.4030000000,.0000000000,-29140.3900000000,-.1027300000,-.2083399900,54,.0000000000,,54,-612002,-1523581,-.0090000000,209263,.0010000000,2768197,42.2550000000,2.7490000000,.0370000000,-310255,-460379,.1724138300,.1800000000,.0790000000,.1354838800,.1305652100,3790,15918,177132992,12814988
AJX,42853132,41294108,7.0495377000,7.4444450000,6.7930000000,-17.4570000000,-1.0076699000,-.4461800000,-.1597099900,-2.1083999000,6078857,.0120000000,-.1730000000,2313099,-2365423,-6125476,-.0130000000,4741251,.0070000000,3526769,64.9790000000,6.4130000000,.0090000000,-3175135,-3668590,.0806452000,.1000000000,.0280000000,.0572580660,.0636231900,2912059,4344033,639598976,460850198
